received_timestamp,source_timestamp,symbol,price,volume,td
2026-09-08T00:51:09.636+00:00,1788828667631,USOIL,92.33800,2.00000,0
2026-09-08T00:51:17.327+00:00,1788828675351,USOIL,92.34300,3.00000,0
2026-09-08T00:51:17.627+00:00,1788828675666,USOIL,92.34700,1.00000,0
2026-09-08T00:51:19.578+00:00,1788828677586,USOIL,92.34300,1.00000,0
2026-09-08T00:51:25.977+00:00,1788828683998,USOIL,92.34400,4.00000,0
2026-09-08T00:51:32.377+00:00,1788828690415,USOIL,92.34900,1.00000,0
2026-09-08T00:51:32.978+00:00,1788828690999,USOIL,92.33800,2.00000,0
2026-09-08T00:51:33.327+00:00,1788828691341,USOIL,92.33300,2.00000,0
2026-09-08T00:51:35.527+00:00,1788828693574,USOIL,92.33900,1.00000,0
2026-09-08T00:51:36.227+00:00,1788828694233,USOIL,92.34200,1.00000,0
2026-09-08T00:51:36.577+00:00,1788828694584,USOIL,92.33800,1.00000,0
2026-09-08T00:51:38.785+00:00,1788828696821,USOIL,92.33200,1.00000,0
2026-09-08T00:51:46.828+00:00,1788828704846,USOIL,92.34300,2.00000,0
2026-09-08T00:51:50.026+00:00,1788828708029,USOIL,92.34900,1.00000,0
2026-09-08T00:51:50.327+00:00,1788828708357,USOIL,92.34700,1.00000,0
2026-09-08T00:51:52.576+00:00,1788828710593,USOIL,92.34400,1.00000,0
2026-09-08T00:51:59.927+00:00,1788828717950,USOIL,92.33800,1.00000,0
2026-09-08T00:52:00.577+00:00,1788828718615,USOIL,92.34900,2.00000,0
2026-09-08T00:52:02.780+00:00,1788828720814,USOIL,92.34900,0.00000,0
2026-09-08T00:52:02.782+00:00,1788828720814,USOIL,92.34200,1.00000,0
2026-09-08T00:52:04.484+00:00,1788828722500,USOIL,92.34400,2.00000,0
2026-09-08T00:52:04.726+00:00,1788828722758,USOIL,92.34700,2.00000,0
2026-09-08T00:52:07.027+00:00,1788828725026,USOIL,92.34200,3.00000,0
2026-09-08T00:52:07.627+00:00,1788828725663,USOIL,92.34300,1.00000,0
2026-09-08T00:52:18.126+00:00,1788828736134,USOIL,92.33900,3.00000,0
2026-09-08T00:52:19.076+00:00,1788828737118,USOIL,92.33700,1.00000,0
2026-09-08T00:52:19.726+00:00,1788828737727,USOIL,92.33200,1.00000,0
2026-09-08T00:52:21.984+00:00,1788828739980,USOIL,92.33800,1.00000,0
2026-09-08T00:52:22.226+00:00,1788828740260,USOIL,92.33700,3.00000,0
2026-09-08T00:52:22.627+00:00,1788828740642,USOIL,92.33900,1.00000,0
2026-09-08T00:52:23.576+00:00,1788828741590,USOIL,92.33300,1.00000,0
2026-09-08T00:52:23.927+00:00,1788828741933,USOIL,92.33700,1.00000,0
2026-09-08T00:52:28.026+00:00,1788828746046,USOIL,92.34200,1.00000,0
2026-09-08T00:52:32.830+00:00,1788828750864,USOIL,92.33700,1.00000,0
2026-09-08T00:52:36.028+00:00,1788828754049,USOIL,92.33300,1.00000,0
2026-09-08T00:52:42.126+00:00,1788828760136,USOIL,92.34400,2.00000,0
2026-09-08T00:52:42.477+00:00,1788828760502,USOIL,92.34800,1.00000,0
2026-09-08T00:52:47.241+00:00,1788828765259,USOIL,92.35200,2.00000,0
2026-09-08T00:52:47.577+00:00,1788828765602,USOIL,92.35700,1.00000,0
2026-09-08T00:52:47.927+00:00,1788828765947,USOIL,92.36900,1.00000,0
2026-09-08T00:52:48.232+00:00,1788828766271,USOIL,92.37200,1.00000,0
2026-09-08T00:52:48.526+00:00,1788828766549,USOIL,92.37200,2.00000,0
2026-09-08T00:52:48.877+00:00,1788828766879,USOIL,92.36700,1.00000,0
2026-09-08T00:52:49.833+00:00,1788828767868,USOIL,92.36300,1.00000,0
2026-09-08T00:52:55.277+00:00,1788828773321,USOIL,92.36700,1.00000,0
2026-09-08T00:52:55.585+00:00,1788828773622,USOIL,92.36400,1.00000,0
2026-09-08T00:52:56.577+00:00,1788828774583,USOIL,92.36900,1.00000,0
2026-09-08T00:52:57.876+00:00,1788828775880,USOIL,92.37400,1.00000,0
2026-09-08T00:52:59.555+00:00,1788828777446,USOIL,92.36700,1.00000,0
2026-09-08T00:52:59.807+00:00,1788828777794,USOIL,92.36300,1.00000,0
2026-09-08T00:53:02.391+00:00,1788828780375,USOIL,92.35800,1.00000,0
2026-09-08T00:53:02.677+00:00,1788828780694,USOIL,92.35800,0.00000,0
2026-09-08T00:53:02.680+00:00,1788828780694,USOIL,92.36300,1.00000,0
2026-09-08T00:53:20.676+00:00,1788828798702,USOIL,92.36200,1.00000,0
2026-09-08T00:53:21.058+00:00,1788828798984,USOIL,92.36700,1.00000,0
2026-09-08T00:53:21.276+00:00,1788828799293,USOIL,92.36200,1.00000,0
2026-09-08T00:53:30.369+00:00,1788828808281,USOIL,92.36800,1.00000,0
2026-09-08T00:53:40.315+00:00,1788828818228,USOIL,92.36200,1.00000,0
2026-09-08T00:53:40.526+00:00,1788828818530,USOIL,92.36900,1.00000,0
2026-09-08T00:53:41.778+00:00,1788828819799,USOIL,92.37400,3.00000,0
2026-09-08T00:53:51.725+00:00,1788828829734,USOIL,92.37300,1.00000,0
2026-09-08T00:53:52.028+00:00,1788828830039,USOIL,92.36300,1.00000,0
2026-09-08T00:53:52.375+00:00,1788828830421,USOIL,92.36900,1.00000,0
2026-09-08T00:53:55.367+00:00,1788828833284,USOIL,92.36800,1.00000,0
2026-09-08T00:54:00.484+00:00,1788828838421,USOIL,92.36900,1.00000,0
2026-09-08T00:54:02.975+00:00,1788828840991,USOIL,92.36900,0.00000,0
2026-09-08T00:54:02.977+00:00,1788828840991,USOIL,92.37300,3.00000,0
2026-09-08T00:54:03.926+00:00,1788828841967,USOIL,92.36800,1.00000,0
2026-09-08T00:54:04.277+00:00,1788828842294,USOIL,92.35900,1.00000,0
2026-09-08T00:54:07.483+00:00,1788828845502,USOIL,92.35400,2.00000,0
2026-09-08T00:54:07.775+00:00,1788828845825,USOIL,92.35200,2.00000,0
2026-09-08T00:54:20.968+00:00,1788828858972,USOIL,92.37900,5.00000,0
2026-09-08T00:54:21.275+00:00,1788828859293,USOIL,92.36700,1.00000,0
2026-09-08T00:54:21.625+00:00,1788828859636,USOIL,92.36800,2.00000,0
2026-09-08T00:54:22.228+00:00,1788828860239,USOIL,92.36900,1.00000,0
2026-09-08T00:54:25.157+00:00,1788828863159,USOIL,92.36300,1.00000,0
2026-09-08T00:54:25.425+00:00,1788828863460,USOIL,92.36700,3.00000,0
2026-09-08T00:54:26.677+00:00,1788828864692,USOIL,92.36800,2.00000,0
2026-09-08T00:54:29.625+00:00,1788828867630,USOIL,92.36400,3.00000,0
2026-09-08T00:54:31.825+00:00,1788828869869,USOIL,92.35400,2.00000,0
2026-09-08T00:54:34.076+00:00,1788828872122,USOIL,92.35800,1.00000,0
2026-09-08T00:54:48.526+00:00,1788828886570,USOIL,92.36300,1.00000,0
2026-09-08T00:54:48.824+00:00,1788828886862,USOIL,92.35700,3.00000,0
2026-09-08T00:54:59.729+00:00,1788828897770,USOIL,92.35800,2.00000,0
2026-09-08T00:55:05.527+00:00,1788828903550,USOIL,92.35800,0.00000,0
2026-09-08T00:55:05.535+00:00,1788828903550,USOIL,92.36200,1.00000,0
2026-09-08T00:55:09.703+00:00,1788828907680,USOIL,92.35800,1.00000,0
2026-09-08T00:55:10.311+00:00,1788828908320,USOIL,92.34900,1.00000,0
2026-09-08T00:55:17.673+00:00,1788828915708,USOIL,92.33900,3.00000,0
2026-09-08T00:55:20.224+00:00,1788828918256,USOIL,92.33700,2.00000,0
2026-09-08T00:55:28.573+00:00,1788828926615,USOIL,92.33400,1.00000,0
2026-09-08T00:55:28.924+00:00,1788828926941,USOIL,92.31900,6.00000,0
2026-09-08T00:55:29.224+00:00,1788828927238,USOIL,92.30800,2.00000,0
2026-09-08T00:55:29.874+00:00,1788828927890,USOIL,92.31700,1.00000,0
2026-09-08T00:55:33.463+00:00,1788828931439,USOIL,92.31300,1.00000,0
2026-09-08T00:55:34.070+00:00,1788828932049,USOIL,92.31800,1.00000,0
2026-09-08T00:55:35.072+00:00,1788828933094,USOIL,92.31400,1.00000,0
2026-09-08T00:55:45.333+00:00,1788828943348,USOIL,92.31200,1.00000,0
2026-09-08T00:55:47.823+00:00,1788828945872,USOIL,92.31700,1.00000,0
2026-09-08T00:55:48.173+00:00,1788828946210,USOIL,92.32800,2.00000,0
2026-09-08T00:55:50.423+00:00,1788828948466,USOIL,92.31700,1.00000,0
2026-09-08T00:55:50.727+00:00,1788828948749,USOIL,92.31900,1.00000,0
2026-09-08T00:55:51.074+00:00,1788828949114,USOIL,92.31900,2.00000,0
2026-09-08T00:55:52.723+00:00,1788828950726,USOIL,92.31400,1.00000,0
2026-09-08T00:56:00.801+00:00,1788828958729,USOIL,92.32300,3.00000,0
2026-09-08T00:56:01.623+00:00,1788828959649,USOIL,92.31400,3.00000,0
2026-09-08T00:56:02.022+00:00,1788828959977,USOIL,92.31900,1.00000,0
2026-09-08T00:56:04.588+00:00,1788828962541,USOIL,92.31900,0.00000,0
2026-09-08T00:56:04.595+00:00,1788828962541,USOIL,92.32400,1.00000,0
2026-09-08T00:56:17.995+00:00,1788828975996,USOIL,92.29700,3.00000,0
2026-09-08T00:56:18.322+00:00,1788828976342,USOIL,92.30900,1.00000,0
2026-09-08T00:58:27.417+00:00,1788829105451,USOIL,92.31200,1.00000,0
2026-09-08T00:58:29.067+00:00,1788829107104,USOIL,92.31400,2.00000,0
2026-09-08T00:58:36.472+00:00,1788829114451,USOIL,92.32300,2.00000,0
2026-09-08T00:58:36.798+00:00,1788829114779,USOIL,92.33400,1.00000,0
2026-09-08T00:58:38.617+00:00,1788829116671,USOIL,92.32700,1.00000,0
2026-09-08T00:58:43.167+00:00,1788829121184,USOIL,92.33900,2.00000,0
2026-09-08T00:58:43.417+00:00,1788829121468,USOIL,92.32800,1.00000,0
2026-09-08T00:58:45.367+00:00,1788829123420,USOIL,92.33900,1.00000,0
2026-09-08T00:58:48.267+00:00,1788829126297,USOIL,92.33900,2.00000,0
2026-09-08T00:58:48.622+00:00,1788829126632,USOIL,92.33300,1.00000,0
2026-09-08T00:58:49.867+00:00,1788829127910,USOIL,92.33800,3.00000,0
2026-09-08T00:58:50.168+00:00,1788829128188,USOIL,92.33400,1.00000,0
2026-09-08T00:58:50.468+00:00,1788829128512,USOIL,92.33900,1.00000,0
2026-09-08T00:58:52.068+00:00,1788829130120,USOIL,92.33700,2.00000,0
2026-09-08T00:58:53.366+00:00,1788829131393,USOIL,92.33900,2.00000,0
2026-09-08T00:58:55.017+00:00,1788829132999,USOIL,92.33400,1.00000,0
2026-09-08T00:58:56.266+00:00,1788829134287,USOIL,92.33900,1.00000,0
2026-09-08T00:59:02.366+00:00,1788829140399,USOIL,92.34200,3.00000,0
2026-09-08T00:59:03.316+00:00,1788829141333,USOIL,92.34200,0.00000,0
2026-09-08T00:59:03.317+00:00,1788829141333,USOIL,92.34700,2.00000,0
2026-09-08T00:59:03.969+00:00,1788829141999,USOIL,92.35700,3.00000,0
2026-09-08T00:59:04.267+00:00,1788829142294,USOIL,92.34800,1.00000,0
2026-09-08T00:59:04.617+00:00,1788829142647,USOIL,92.34400,1.00000,0
2026-09-08T00:59:05.216+00:00,1788829143247,USOIL,92.34800,1.00000,0
2026-09-08T00:59:05.566+00:00,1788829143597,USOIL,92.34300,1.00000,0
2026-09-08T00:59:05.915+00:00,1788829143938,USOIL,92.34200,2.00000,0
2026-09-08T00:59:07.166+00:00,1788829145208,USOIL,92.33200,2.00000,0
2026-09-08T00:59:08.165+00:00,1788829146175,USOIL,92.33800,1.00000,0
2026-09-08T00:59:08.416+00:00,1788829146473,USOIL,92.33400,1.00000,0
2026-09-08T00:59:08.767+00:00,1788829146775,USOIL,92.33700,1.00000,0
2026-09-08T00:59:10.717+00:00,1788829148732,USOIL,92.34300,3.00000,0
2026-09-08T00:59:11.367+00:00,1788829149397,USOIL,92.33700,1.00000,0
2026-09-08T00:59:11.667+00:00,1788829149702,USOIL,92.33900,4.00000,0
2026-09-08T00:59:11.967+00:00,1788829149974,USOIL,92.33800,2.00000,0
2026-09-08T00:59:13.267+00:00,1788829151278,USOIL,92.34700,1.00000,0
2026-09-08T00:59:13.866+00:00,1788829151903,USOIL,92.35800,3.00000,0
2026-09-08T00:59:14.166+00:00,1788829152220,USOIL,92.35400,1.00000,0
2026-09-08T00:59:14.516+00:00,1788829152531,USOIL,92.34200,2.00000,0
2026-09-08T00:59:16.466+00:00,1788829154488,USOIL,92.33900,1.00000,0
2026-09-08T00:59:16.767+00:00,1788829154799,USOIL,92.34400,1.00000,0
2026-09-08T00:59:17.116+00:00,1788829155154,USOIL,92.33700,1.00000,0
2026-09-08T00:59:19.016+00:00,1788829157068,USOIL,92.33800,1.00000,0
2026-09-08T00:59:21.329+00:00,1788829159302,USOIL,92.33900,1.00000,0
2026-09-08T00:59:24.467+00:00,1788829162481,USOIL,92.33400,1.00000,0
2026-09-08T00:59:25.792+00:00,1788829163802,USOIL,92.33900,3.00000,0
2026-09-08T00:59:26.687+00:00,1788829164716,USOIL,92.34300,3.00000,0
2026-09-08T00:59:35.315+00:00,1788829173361,USOIL,92.34400,2.00000,0
2026-09-08T00:59:42.716+00:00,1788829180750,USOIL,92.34800,1.00000,0
2026-09-08T00:59:43.066+00:00,1788829181090,USOIL,92.33700,1.00000,0
2026-09-08T00:59:48.766+00:00,1788829186811,USOIL,92.32300,2.00000,0
2026-09-08T00:59:51.716+00:00,1788829189739,USOIL,92.32900,3.00000,0
2026-09-08T00:59:52.615+00:00,1788829190652,USOIL,92.33700,3.00000,0
2026-09-08T00:59:52.967+00:00,1788829190999,USOIL,92.33900,2.00000,0
2026-09-08T00:59:53.316+00:00,1788829191355,USOIL,92.34200,1.00000,0
2026-09-08T00:59:54.865+00:00,1788829192900,USOIL,92.34800,1.00000,0
2026-09-08T00:59:55.215+00:00,1788829193229,USOIL,92.34700,1.00000,0
2026-09-08T00:59:58.065+00:00,1788829196108,USOIL,92.34400,1.00000,0
2026-09-08T00:59:58.416+00:00,1788829196430,USOIL,92.34400,2.00000,0
2026-09-08T00:59:59.065+00:00,1788829197115,USOIL,92.33700,1.00000,0
2026-09-08T00:59:59.367+00:00,1788829197420,USOIL,92.33700,4.00000,0
2026-09-08T00:59:59.665+00:00,1788829197721,USOIL,92.33900,2.00000,0
2026-09-08T00:59:59.967+00:00,1788829197999,USOIL,92.33900,2.00000,0
2026-09-08T01:00:00.316+00:00,1788829198346,USOIL,92.34400,1.00000,0
2026-09-08T01:00:02.319+00:00,1788829200326,USOIL,92.37300,4.00000,0
2026-09-08T01:00:02.615+00:00,1788829200646,USOIL,92.37300,0.00000,0
2026-09-08T01:00:02.618+00:00,1788829200646,USOIL,92.37800,1.00000,0
2026-09-08T01:00:02.917+00:00,1788829200932,USOIL,92.37300,2.00000,0
2026-09-08T01:00:03.215+00:00,1788829201228,USOIL,92.37800,1.00000,0
2026-09-08T01:00:03.516+00:00,1788829201573,USOIL,92.37200,4.00000,0
2026-09-08T01:00:03.968+00:00,1788829201990,USOIL,92.36300,5.00000,0
2026-09-08T01:00:04.319+00:00,1788829202343,USOIL,92.36400,3.00000,0
2026-09-08T01:00:04.665+00:00,1788829202715,USOIL,92.36800,5.00000,0
2026-09-08T01:00:05.067+00:00,1788829203099,USOIL,92.37200,1.00000,0
2026-09-08T01:00:05.416+00:00,1788829203431,USOIL,92.36300,10.00000,0
2026-09-08T01:00:06.066+00:00,1788829204111,USOIL,92.35400,6.00000,0
2026-09-08T01:00:06.365+00:00,1788829204388,USOIL,92.35700,2.00000,0
2026-09-08T01:00:06.665+00:00,1788829204688,USOIL,92.36300,1.00000,0
2026-09-08T01:00:07.616+00:00,1788829205624,USOIL,92.35400,3.00000,0
2026-09-08T01:00:07.916+00:00,1788829205953,USOIL,92.36800,2.00000,0
2026-09-08T01:00:08.215+00:00,1788829206274,USOIL,92.37400,1.00000,0
2026-09-08T01:00:08.568+00:00,1788829206583,USOIL,92.37800,1.00000,0
2026-09-08T01:00:08.866+00:00,1788829206918,USOIL,92.37400,2.00000,0
2026-09-08T01:00:09.215+00:00,1788829207256,USOIL,92.36300,4.00000,0
2026-09-08T01:00:09.516+00:00,1788829207560,USOIL,92.35700,1.00000,0
2026-09-08T01:00:09.865+00:00,1788829207924,USOIL,92.35800,1.00000,0
2026-09-08T01:00:10.565+00:00,1788829208586,USOIL,92.36200,1.00000,0
2026-09-08T01:00:10.817+00:00,1788829208873,USOIL,92.36800,1.00000,0
2026-09-08T01:00:12.764+00:00,1788829210779,USOIL,92.35800,2.00000,0
2026-09-08T01:00:13.116+00:00,1788829211133,USOIL,92.36400,1.00000,0
2026-09-08T01:00:13.366+00:00,1788829211416,USOIL,92.35700,1.00000,0
2026-09-08T01:00:14.366+00:00,1788829212416,USOIL,92.35700,2.00000,0
2026-09-08T01:00:14.667+00:00,1788829212697,USOIL,92.37300,5.00000,0
2026-09-08T01:00:14.965+00:00,1788829212999,USOIL,92.37400,2.00000,0
2026-09-08T01:00:15.316+00:00,1788829213343,USOIL,92.37900,3.00000,0
2026-09-08T01:00:15.616+00:00,1788829213643,USOIL,92.37400,1.00000,0
2026-09-08T01:00:16.015+00:00,1788829214034,USOIL,92.36900,1.00000,0
2026-09-08T01:00:16.266+00:00,1788829214294,USOIL,92.37300,1.00000,0
2026-09-08T01:00:16.616+00:00,1788829214645,USOIL,92.37800,1.00000,0
2026-09-08T01:00:16.916+00:00,1788829214937,USOIL,92.39300,3.00000,0
2026-09-08T01:00:17.214+00:00,1788829215259,USOIL,92.38900,2.00000,0
2026-09-08T01:00:17.566+00:00,1788829215577,USOIL,92.39800,2.00000,0
2026-09-08T01:00:17.865+00:00,1788829215884,USOIL,92.39200,4.00000,0
2026-09-08T01:00:18.215+00:00,1788829216268,USOIL,92.39900,1.00000,0
2026-09-08T01:00:18.515+00:00,1788829216529,USOIL,92.40400,5.00000,0
2026-09-08T01:00:18.816+00:00,1788829216867,USOIL,92.41400,2.00000,0
2026-09-08T01:00:19.166+00:00,1788829217175,USOIL,92.41300,2.00000,0
2026-09-08T01:00:19.466+00:00,1788829217497,USOIL,92.39200,2.00000,0
2026-09-08T01:00:19.866+00:00,1788829217881,USOIL,92.38400,11.00000,0
2026-09-08T01:00:20.465+00:00,1788829218505,USOIL,92.38700,4.00000,0
2026-09-08T01:00:21.066+00:00,1788829219108,USOIL,92.40200,4.00000,0
2026-09-08T01:00:21.416+00:00,1788829219434,USOIL,92.39700,2.00000,0
2026-09-08T01:00:21.765+00:00,1788829219794,USOIL,92.40200,1.00000,0
2026-09-08T01:00:22.016+00:00,1788829220053,USOIL,92.39700,1.00000,0
2026-09-08T01:00:22.666+00:00,1788829220696,USOIL,92.39700,2.00000,0
2026-09-08T01:00:23.016+00:00,1788829221065,USOIL,92.38700,4.00000,0
2026-09-08T01:00:23.317+00:00,1788829221327,USOIL,92.38200,1.00000,0
2026-09-08T01:00:24.014+00:00,1788829222033,USOIL,92.36800,2.00000,0
2026-09-08T01:00:24.615+00:00,1788829222636,USOIL,92.36700,3.00000,0
2026-09-08T01:00:25.215+00:00,1788829223258,USOIL,92.35900,2.00000,0
2026-09-08T01:00:25.917+00:00,1788829223947,USOIL,92.34700,3.00000,0
2026-09-08T01:00:26.215+00:00,1788829224270,USOIL,92.35200,1.00000,0
2026-09-08T01:00:26.865+00:00,1788829224914,USOIL,92.37300,2.00000,0
2026-09-08T01:00:27.467+00:00,1788829225515,USOIL,92.36300,1.00000,0
2026-09-08T01:00:27.816+00:00,1788829225836,USOIL,92.36400,2.00000,0
